#PPL;Cedula;Nombres;Edad(Anios);Pena(anios);Fecha(Ingreso)(d/m/a);Fecha(Salida)(d/m/a);Anios Restantes (pena);Pabellon;Celda;Clasificacion;Visitas semanales(Horas);Delito
PPL 621;3998516648;Roberto Diego Romero Roman;30;19;29/05/2019;29/05/2038;14;5(E);E1;Bajo;4;Otros
PPL 622;7950027758;Pedro Cesar Guerrero Espinosa;27;11;17/10/2017;17/10/2028;4;5(E);E2;Bajo;4;Estafa
PPL 623;4235745436;Roberto Sergio Perero Reyes;34;21;10/09/2009;10/09/2030;6;5(E);E3;Bajo;4;Invasion
PPL 624;7484316149;Pedro Angel Guerrero Roman;47;16;28/12/2024;28/12/2040;16;5(E);E4;Bajo;4;Otros
PPL 625;2421180097;Mario Antonio Gonzales Espinosa;33;20;02/09/2011;02/09/2031;7;5(E);E5;Bajo;4;Otros
PPL 626;5957130773;Pedro Diego Torres Reyes;63;47;09/12/1982;09/12/2029;5;5(E);E6;Bajo;4;Invasion
PPL 627;7870387523;Pedro Sergio Cevallos Espinosa;42;23;30/07/2003;30/07/2026;2;5(E);E7;Bajo;4;Amenazas
PPL 628;4560080130;Victor Antonio Garcia Roman;63;50;24/01/1980;24/01/2030;6;5(E);E8;Bajo;4;Invasion
PPL 629;4335125631;Pedro Antonio Cevallos Reyes;57;39;03/04/1988;03/04/2027;3;5(E);E9;Bajo;4;Amenazas
PPL 630;1629696476;Pedro Diego Paredes Hidalgo;34;10;29/12/2023;29/12/2033;9;5(E);E10;Bajo;4;Invasion
PPL 631;6013841602;Roberto Antonio Gonzales Ramirez;45;27;17/07/1999;17/07/2026;2;5(E);E11;Bajo;4;Estafa
PPL 632;7602230337;Roberto Angel Cuenca Reyes;40;23;08/03/2006;08/03/2029;5;5(E);E12;Bajo;4;Estafa
PPL 633;1470144283;Victor Pablo Paredes Gomez;62;43;23/12/1983;23/12/2026;2;5(E);E13;Bajo;4;Amenazas
PPL 634;7522071694;Mario Angel Perero Hidalgo;44;19;25/09/2007;25/09/2026;2;5(E);E14;Bajo;4;Invasion
PPL 635;9811862684;Michael Diego Garcia Reyes;30;11;04/05/2019;04/05/2030;6;5(E);E15;Bajo;4;Otros
PPL 636;3771853084;Mario Cesar Cuenca Gomez;23;28;21/03/2021;21/03/2049;25;5(E);E16;Bajo;4;Otros
PPL 637;2424715778;Carlos Angel Paredes Reyes;36;20;26/11/2007;26/11/2027;3;5(E);E17;Bajo;4;Invasion
PPL 638;1257659799;Mario Diego Torres Roman;28;18;02/10/2015;02/10/2033;9;5(E);E18;Bajo;4;Amenazas
PPL 639;6703150892;Fabian Julian Perero Reyes;23;3;12/02/2022;12/02/2025;1;5(E);E19;Bajo;4;Otros
PPL 640;6917382022;Victor Pablo Paredes Morales;36;7;24/11/2024;24/11/2031;7;5(E);E20;Bajo;4;Amenazas
